,Unnamed: 0,lower_thresh,upper_thresh
0,0,60,60
1,1,0.02,0.02
2,2,0.04,0.04
3,3,0.08,0.08
4,4,0.1,0.1
5,5,0.16,0.16
6,6,0.25,0.25
7,7,0.5,0.5
8,8,0.75,0.75
9,9,0.02,60
10,10,0.04,60
11,11,0.08,60
12,12,0.1,60
13,13,0.16,60
14,14,0.25,60
15,15,0.5,60
16,16,0.75,60
17,17,0.04,0.02
18,18,0.08,0.02
19,19,0.1,0.02
20,20,0.16,0.02
21,21,0.25,0.02
22,22,0.5,0.02
23,23,0.75,0.02
24,24,0.08,0.04
25,25,0.1,0.04
26,26,0.16,0.04
27,27,0.25,0.04
28,28,0.5,0.04
29,29,0.75,0.04
30,30,0.1,0.08
31,31,0.16,0.08
32,32,0.25,0.08
33,33,0.5,0.08
34,34,0.75,0.08
35,35,0.16,0.1
36,36,0.25,0.1
37,37,0.5,0.1
38,38,0.75,0.1
39,39,0.25,0.16
40,40,0.5,0.16
41,41,0.75,0.16
42,42,0.5,0.25
43,43,0.75,0.25
44,44,0.75,0.5
45,45,60,0.02
46,46,60,0.04
47,47,60,0.08
48,48,60,0.1
49,49,60,0.16
50,50,60,0.25
51,51,60,0.5
52,52,60,0.75
53,53,0.02,0.04
54,54,0.02,0.08
55,55,0.02,0.1
56,56,0.02,0.16
57,57,0.02,0.25
58,58,0.02,0.5
59,59,0.02,0.75
60,60,0.04,0.08
61,61,0.04,0.1
62,62,0.04,0.16
63,63,0.04,0.25
64,64,0.04,0.5
65,65,0.04,0.75
66,66,0.08,0.1
67,67,0.08,0.16
68,68,0.08,0.25
69,69,0.08,0.5
70,70,0.08,0.75
71,71,0.1,0.16
72,72,0.1,0.25
73,73,0.1,0.5
74,74,0.1,0.75
75,75,0.16,0.25
76,76,0.16,0.5
77,77,0.16,0.75
78,78,0.25,0.5
79,79,0.25,0.75
80,80,0.5,0.75
81,81,0.35,0.1
82,82,0.35,0.16
83,83,60,0.35
